"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"1023",1,4,9.25737242300238,-7,276,6,0.6,1,"8MPV3",2
"1024",1,4,13.9692348009994,5,405,6,0.5,2,"8MPV3",2
"1025",1,3,18.6489385390014,5,15,9,0.3,2,"8MPV3",2
"1026",1,4,23.5070382640115,-7,221,9,0.7,1,"8MPV3",2
"1027",1,1,28.3953700020065,5,95,7,0.2,2,"8MPV3",2
"1028",1,1,33.690123184002,7,163,9,0.1,1,"8MPV3",2
"1029",1,3,38.4187094270019,7,375,7,0.4,2,"8MPV3",2
"1030",1,4,43.2732433310011,-7,245,7,0.6,1,"8MPV3",2
"1031",1,4,47.7292461010074,5,327,6,0.5,2,"8MPV3",2
"1032",1,2,52.3464551870129,5,136,8,0.3,1,"8MPV3",2
"1033",1,4,56.8260326210002,7,9,6,0.7,2,"8MPV3",2
"1034",1,1,61.4499417580082,-7,348,8,0.2,2,"8MPV3",2
"1035",1,1,67.0578677510057,-5,171,8,0.1,2,"8MPV3",2
"1036",1,4,71.6415417790122,5,155,9,0.4,2,"8MPV3",2
"1037",1,4,76.3545640860102,5,76,6,0.6,2,"8MPV3",2
"1038",1,3,80.8811577540037,-7,85,8,0.5,1,"8MPV3",2
"1039",1,3,86.6819335450127,7,159,8,0.3,2,"8MPV3",2
"1040",1,4,91.6980903010117,-7,427,6,0.7,1,"8MPV3",2
"1041",1,4,0.0190070069947978,-7,346,9,0.5,1,"8MPV3",3
"1042",1,1,5.28961602599884,7,6,9,0.2,1,"8MPV3",3
"1043",1,4,10.3283730809926,7,49,8,0.4,2,"8MPV3",3
"1044",1,4,14.8663824769901,5,329,7,0.7,2,"8MPV3",3
"1045",1,4,19.4818493100029,7,397,6,0.6,2,"8MPV3",3
"1046",1,2,24.1054868569918,-5,324,7,0.1,1,"8MPV3",3
"1047",1,2,29.3215838609904,7,278,7,0.3,2,"8MPV3",3
"1048",1,4,36.4491617559979,7,63,9,0.5,2,"8MPV3",3
"1049",1,1,41.0807562929986,-7,169,8,0.2,1,"8MPV3",3
"1050",1,4,46.4812907269952,-5,347,8,0.4,1,"8MPV3",3
"1051",1,4,52.4659649270034,-5,403,6,0.7,1,"8MPV3",3
"1052",1,4,58.274633544992,-7,170,8,0.6,1,"8MPV3",3
"1053",1,3,63.0498592319927,-7,267,7,0.1,2,"8MPV3",3
"1054",1,3,68.3137334539933,-5,15,6,0.3,1,"8MPV3",3
"1055",1,4,72.9388610890019,5,335,9,0.5,2,"8MPV3",3
"1056",1,3,77.426008548995,5,5,6,0.2,2,"8MPV3",3
"1057",1,4,82.0497067329998,-5,269,7,0.4,1,"8MPV3",3
"1058",1,4,86.7141884019948,5,306,9,0.7,2,"8MPV3",3
